stock,horizon,target_threshold,best_threshold,test_positive_rate,signal_rate,precision,recall,f1,balanced_accuracy,accuracy,proba_mean,proba_std,proba_min,proba_max,n_test,n_signals,error
MSFT,10,0.07,0.3,0.03,0.0,0.0,0.0,0.0,0.5,0.97,0.15634688851618506,0.07514107584823128,0.023582096875006127,0.37301654344538865,200,0,
MSFT,20,0.02,0.5499999999999999,0.415,0.025,0.6,0.03614457831325301,0.06818181818181818,0.5095252806096179,0.59,0.5859732048293403,0.08630703154335713,0.3798303075612549,0.7854147773862008,200,5,
MSFT,20,0.03,0.44999999999999996,0.33,0.03,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.5002261420171868,0.66,0.5289331376976137,0.09695148494764214,0.27521844068354334,0.7029110303209665,200,6,
MSFT,20,0.05,0.35,0.175,0.055,0.7272727272727273,0.22857142857142856,0.34782608695652173,0.6051948051948052,0.85,0.49163712154893313,0.1494300834439633,0.06804107704319792,0.7772195212545094,200,11,
MSFT,20,0.07,0.3,0.06,0.0,0.0,0.0,0.0,0.5,0.94,0.3712218812323212,0.1313768347817609,0.0193293821895181,0.5940387452209576,200,0,
MSFT,30,0.02,0.5499999999999999,0.375,0.08,0.5625,0.12,0.1978021978021978,0.532,0.635,0.5774736928115246,0.11909501279936308,0.311631497964053,0.8484257124651926,200,16,
MSFT,30,0.03,0.49999999999999994,0.325,0.04,0.375,0.046153846153846156,0.0821917808219178,0.5045584045584045,0.665,0.5264805284381585,0.12557250087022714,0.2113028835297039,0.8117587814229869,200,8,
MSFT,30,0.05,0.35,0.2,0.04,0.625,0.125,0.20833333333333334,0.553125,0.81,0.4361942947257309,0.17102483987689457,0.13803952777547554,0.9113245008568327,200,8,
MSFT,30,0.07,0.3,0.145,0.015,0.0,0.0,0.0,0.49122807017543857,0.84,0.371726406309412,0.12908053179141774,0.0843680419500609,0.6889577610500967,200,3,
MSFT,45,0.02,0.7,0.315,0.15,0.2,0.09523809523809523,0.12903225806451613,0.4600278067431352,0.595,0.6663936616908643,0.1253367975151485,0.33233051940757874,0.9402547360903094,200,30,
MSFT,45,0.03,0.7499999999999999,0.27,0.13,0.15384615384615385,0.07407407407407407,0.1,0.46169457128361235,0.64,0.6169707982058737,0.14511388112101276,0.3453910562141039,0.9065485066601016,200,26,
MSFT,45,0.05,0.6499999999999999,0.17,0.06,0.25,0.08823529411764706,0.13043478260869565,0.5170092133238837,0.8,0.48269790405937213,0.15493264034181264,0.11895943725129025,0.8582757405226334,200,12,
MSFT,45,0.07,0.44999999999999996,0.13,0.055,0.0,0.0,0.0,0.46839080459770116,0.815,0.463847364106288,0.16298106242027516,0.09467557267563716,0.8253998950693292,200,11,
MSFT,60,0.02,0.7,0.28,0.14,0.07142857142857142,0.03571428571428571,0.047619047619047616,0.42757936507936506,0.6,0.6362500493445263,0.1626392783023443,0.3360009937322254,0.9394588445210291,200,28,
MSFT,60,0.03,0.6499999999999999,0.255,0.16,0.0625,0.0392156862745098,0.04819277108433735,0.41893670219765755,0.605,0.6173777388918316,0.1492828671380807,0.33100276379280996,0.9083177404776844,200,32,
