stock,horizon,target_threshold,best_threshold,test_positive_rate,signal_rate,precision,recall,f1,balanced_accuracy,accuracy,proba_mean,proba_std,proba_min,proba_max,n_test,n_signals,error
GOOGL,20,0.02,0.1,0.51,0.25,0.48,0.23529411764705882,0.3157894736842105,0.4849939975990396,0.48,0.55218273,0.29028016,0.012649677,0.98301506,200,50,
GOOGL,20,0.03,0.1,0.48,0.25,0.44,0.22916666666666666,0.3013698630136986,0.4799679487179487,0.49,0.6417236,0.26450834,0.017732976,0.9821876,200,50,
GOOGL,20,0.05,0.5,0.355,0.25,0.38,0.2676056338028169,0.3140495867768595,0.5136477781417186,0.585,0.42945197,0.30405512,0.012491564,0.9555125,200,50,
GOOGL,20,0.07,0.3,0.225,0.25,0.34,0.37777777777777777,0.35789473684210527,0.5824372759856631,0.695,0.27681255,0.2483614,0.0033744068,0.92261046,200,50,
GOOGL,30,0.02,0.25,0.545,0.25,0.22,0.10091743119266056,0.13836477987421383,0.336173001310616,0.315,0.5814585,0.29543668,0.02683991,0.983582,200,50,
GOOGL,30,0.03,0.15000000000000002,0.515,0.25,0.16,0.07766990291262135,0.10457516339869281,0.3223401060954859,0.315,0.44961712,0.28422913,0.034879062,0.9678898,200,50,
GOOGL,30,0.05,0.05,0.45,0.25,0.22,0.12222222222222222,0.15714285714285714,0.38383838383838387,0.41,0.24965847,0.23892723,0.012384047,0.91361815,200,50,
GOOGL,30,0.07,0.8500000000000001,0.325,0.25,0.26,0.2,0.22608695652173913,0.462962962962963,0.555,0.29838496,0.27343255,0.003515537,0.9555221,200,50,
GOOGL,45,0.02,0.4,0.44,0.25,0.2,0.11363636363636363,0.14492753623188406,0.3782467532467533,0.41,0.691452,0.28669,0.09748657,0.9929107,200,50,
GOOGL,45,0.03,0.4,0.43,0.25,0.12,0.06976744186046512,0.08823529411764706,0.3419012647898817,0.38,0.6271632,0.30193177,0.035375606,0.9889014,200,50,
GOOGL,45,0.05,0.1,0.36,0.25,0.2,0.1388888888888889,0.16393442622950818,0.4131944444444444,0.49,0.35921073,0.32286477,0.024314914,0.96715987,200,50,
GOOGL,45,0.07,0.25,0.33,0.25,0.34,0.25757575757575757,0.29310344827586204,0.5056535504296698,0.59,0.20898457,0.21241961,0.013031507,0.94052726,200,50,
GOOGL,60,0.02,0.05,0.375,0.25,0.26,0.17333333333333334,0.208,0.43866666666666665,0.505,0.632017,0.3717229,0.025229717,0.9965043,200,50,
GOOGL,60,0.03,0.05,0.35,0.25,0.24,0.17142857142857143,0.2,0.43956043956043955,0.52,0.5661709,0.4116994,0.019685136,0.9965894,200,50,
GOOGL,60,0.05,0.05,0.335,0.25,0.36,0.26865671641791045,0.3076923076923077,0.5140276063292559,0.595,0.41661865,0.3836702,0.0037372855,0.9963959,200,50,
GOOGL,60,0.07,0.05,0.3,0.25,0.3,0.25,0.2727272727272727,0.5,0.6,0.32033938,0.34263125,0.00326608,0.9940996,200,50,
TSLA,10,0.02,0.3,0.535,0.25,0.5,0.2336448598130841,0.3184713375796178,0.48241382775600444,0.465,0.39365655,0.23104239,0.044340953,0.9829556,200,50,
TSLA,10,0.03,0.2,0.49,0.25,0.36,0.1836734693877551,0.24324324324324326,0.43497398959583833,0.44,0.3426692,0.22391644,0.023869725,0.986796,200,50,
TSLA,10,0.05,0.05,0.44,0.25,0.3,0.17045454545454544,0.21739130434782608,0.4289772727272727,0.46,0.27654803,0.24758387,0.018292828,0.94709766,200,50,
TSLA,10,0.07,0.05,0.4,0.25,0.36,0.225,0.27692307692307694,0.47916666666666663,0.53,0.2246359,0.21194668,0.014228497,0.9057266,200,50,
TSLA,20,0.02,0.1,0.6,0.25,0.6,0.25,0.35294117647058826,0.5,0.45,0.35356614,0.24372928,0.010075143,0.93961906,200,50,
TSLA,20,0.03,0.1,0.575,0.25,0.72,0.3130434782608696,0.43636363636363634,0.5741687979539642,0.535,0.30997944,0.24433896,0.01865278,0.9387363,200,50,
TSLA,20,0.05,0.2,0.515,0.25,0.66,0.32038834951456313,0.43137254901960786,0.5725653087779001,0.565,0.25654244,0.28014472,0.004839052,0.97462887,200,50,
TSLA,20,0.07,0.1,0.455,0.25,0.44,0.24175824175824176,0.3120567375886525,0.4924387539066438,0.515,0.19745968,0.26038012,0.0023983377,0.9662645,200,50,
TSLA,30,0.02,0.1,0.645,0.25,0.86,0.3333333333333333,0.48044692737430167,0.6173708920187794,0.535,0.3547227,0.31616563,0.007256585,0.99729794,200,50,
TSLA,30,0.03,0.05,0.61,0.25,0.8,0.32786885245901637,0.46511627906976744,0.5998318621269441,0.54,0.31607303,0.32515606,0.003990034,0.9936318,200,50,
TSLA,30,0.05,0.2,0.55,0.25,0.66,0.3,0.4125,0.5555555555555556,0.53,0.34349087,0.3216688,0.009547641,0.97681993,200,50,
TSLA,30,0.07,0.1,0.51,0.25,0.58,0.28431372549019607,0.3815789473684211,0.5350140056022409,0.53,0.32739934,0.33951005,0.004701714,0.96120256,200,50,
TSLA,45,0.02,0.05,0.655,0.25,0.84,0.32061068702290074,0.46408839779005523,0.6023343290186968,0.515,0.3730552,0.3587283,0.0025639809,0.9966366,200,50,
TSLA,45,0.03,0.05,0.65,0.25,0.8,0.3076923076923077,0.4444444444444444,0.5824175824175823,0.5,0.35394627,0.35047907,0.007870438,0.99367976,200,50,
TSLA,45,0.05,0.3,0.61,0.25,0.8,0.32786885245901637,0.46511627906976744,0.5998318621269441,0.54,0.33997086,0.3681083,0.0018978728,0.9970721,200,50,
TSLA,45,0.07,0.05,0.57,0.25,0.76,0.3333333333333333,0.4634146341463415,0.5968992248062015,0.56,0.32661247,0.36263984,0.0020464552,0.9926041,200,50,
TSLA,60,0.02,0.4,0.62,0.25,0.94,0.3790322580645161,0.5402298850574713,0.669779286926995,0.6,0.20903353,0.26438314,0.0013053716,0.9902333,200,50,
TSLA,60,0.03,0.2,0.605,0.25,0.92,0.38016528925619836,0.5380116959064327,0.6647661889318967,0.605,0.18481602,0.27054495,0.0012874998,0.9956115,200,50,
TSLA,60,0.05,0.25,0.59,0.25,0.98,0.4152542372881356,0.5833333333333334,0.701529557668458,0.65,0.22815964,0.28286397,0.0040103295,0.9965108,200,50,
TSLA,60,0.07,0.6000000000000001,0.57,0.25,0.96,0.42105263157894735,0.5853658536585366,0.6988984088127295,0.66,0.25771588,0.3170646,0.0035106775,0.992566,200,50,
AMD,10,0.02,0.05,0.305,0.25,0.24,0.19672131147540983,0.21621621621621623,0.46167000825569054,0.565,0.46406245,0.28424582,0.030364126,0.9431956,200,50,
AMD,10,0.03,0.05,0.275,0.25,0.24,0.21818181818181817,0.22857142857142856,0.4780564263322884,0.595,0.49085137,0.30314428,0.030009774,0.96604776,200,50,
AMD,10,0.05,0.1,0.23,0.25,0.08,0.08695652173913043,0.08333333333333333,0.39412761151891584,0.56,0.39061058,0.28284487,0.021853607,0.9608766,200,50,
AMD,10,0.07,0.1,0.175,0.25,0.08,0.11428571428571428,0.09411764705882353,0.41774891774891776,0.615,0.36770728,0.25152692,0.02244833,0.93366694,200,50,
AMD,20,0.02,0.05,0.315,0.25,0.04,0.031746031746031744,0.035398230088495575,0.34069053412119105,0.455,0.35976517,0.3010042,0.003246218,0.99015737,200,50,
AMD,20,0.03,0.05,0.29,0.25,0.04,0.034482758620689655,0.037037037037037035,0.34822729480330256,0.48,0.32966274,0.26488298,0.012180602,0.9902408,200,50,
AMD,20,0.05,0.05,0.24,0.25,0.02,0.020833333333333332,0.02040816326530612,0.3492324561403509,0.52,0.32726058,0.24891657,0.019322583,0.968532,200,50,
AMD,20,0.07,0.25,0.205,0.25,0.0,0.0,0.0,0.34276729559748426,0.545,0.28383434,0.27230683,0.010058003,0.96713847,200,50,
AMD,30,0.02,0.05,0.3,0.25,0.02,0.016666666666666666,0.01818181818181818,0.33333333333333337,0.46,0.27235377,0.2920863,0.016142683,0.99076265,200,50,
AMD,30,0.03,0.05,0.275,0.25,0.02,0.01818181818181818,0.01904761904761905,0.3401253918495298,0.485,0.30257615,0.30390757,0.012287139,0.9816643,200,50,
AMD,30,0.05,0.05,0.24,0.25,0.06,0.0625,0.061224489795918366,0.37664473684210525,0.54,0.28372517,0.31282845,0.0065121967,0.99542904,200,50,
AMD,30,0.07,0.05,0.21,0.25,0.1,0.11904761904761904,0.10869565217391304,0.4171187462326703,0.59,0.27344278,0.30290788,0.0040290304,0.99607325,200,50,
AMD,45,0.02,0.8500000000000001,0.235,0.25,0.02,0.02127659574468085,0.020618556701030927,0.3505075789180921,0.525,0.40033314,0.3165798,0.022574497,0.9947917,200,50,
AMD,45,0.03,0.8,0.22,0.25,0.02,0.022727272727272728,0.02127659574468085,0.3543123543123543,0.54,0.3536626,0.31346035,0.021972233,0.9947025,200,50,
AMD,45,0.05,0.8500000000000001,0.17,0.25,0.0,0.0,0.0,0.3493975903614458,0.58,0.34152722,0.29210582,0.012434777,0.989636,200,50,
AMD,45,0.07,0.6000000000000001,0.14,0.25,0.0,0.0,0.0,0.3546511627906977,0.61,0.3209938,0.32474127,0.013087693,0.9944537,200,50,
AMD,60,0.02,0.35000000000000003,0.16,0.25,0.0,0.0,0.0,0.35119047619047616,0.59,0.5706074,0.3711106,0.013543363,0.9961153,200,50,
AMD,60,0.03,0.35000000000000003,0.135,0.25,0.0,0.0,0.0,0.3554913294797688,0.615,0.3676297,0.34754527,0.013693483,0.9895835,200,50,
AMD,60,0.05,0.55,0.11,0.25,0.0,0.0,0.0,0.3595505617977528,0.64,0.3806524,0.35637423,0.01365909,0.99729663,200,50,
