stock,model,horizon,threshold,n_samples,target_rate,recall,precision,note,accuracy,balanced_accuracy
AAPL,xgb,20.0,0.07,1269,0.23325453112687156,0.07692307692307693,0.1111111111111111,,,
AAPL,xgb,1.0,0.01,1288,0.24922360248447206,0.07017543859649122,0.5714285714285714,,,
AAPL,logreg,45.0,0.02,1244,0.5305466237942122,0.06766917293233082,1.0,,,
AAPL,knn,45.0,0.1,1244,0.2990353697749196,0.06578947368421052,0.3125,,,
AAPL,xgb,45.0,0.1,1244,0.2990353697749196,0.06578947368421052,0.14285714285714285,,,
AAPL,rf,60.0,0.07,1229,0.4165988608624898,0.06481481481481481,0.5,,,
AAPL,knn,3.0,0.02,1286,0.25427682737169516,0.06451612903225806,0.2857142857142857,,,
AAPL,logreg,5.0,0.07,1284,0.03894080996884735,0.0625,0.5,,,
AAPL,knn,10.0,0.05,1279,0.21657544956997654,0.0625,0.21428571428571427,,,
AAPL,rf,90.0,0.03,1199,0.5704753961634695,0.0603448275862069,0.22580645161290322,,,
AAPL,knn,20.0,0.07,1269,0.23325453112687156,0.057692307692307696,0.13043478260869565,,,
AAPL,rf,90.0,0.07,1199,0.4854045037531276,0.05660377358490566,0.2857142857142857,,,
AAPL,knn,60.0,0.07,1229,0.4165988608624898,0.05555555555555555,0.24,,,
AAPL,rf,90.0,0.05,1199,0.5229357798165137,0.05504587155963303,0.21428571428571427,,,
AAPL,xgb,20.0,0.1,1269,0.11899133175728921,0.05,0.030303030303030304,,,
AAPL,logreg,45.0,0.01,1244,0.5562700964630225,0.04964539007092199,1.0,,,
AAPL,logreg,60.0,0.05,1229,0.4662327095199349,0.04838709677419355,1.0,,,
AAPL,knn,5.0,0.03,1284,0.2266355140186916,0.046875,0.1875,,,
AAPL,logreg,60.0,0.03,1229,0.5337672904800651,0.04477611940298507,1.0,,,
AAPL,xgb,60.0,0.1,1229,0.34011391375101707,0.04395604395604396,0.17391304347826086,,,
AAPL,rf,20.0,0.07,1269,0.23325453112687156,0.038461538461538464,0.05714285714285714,,,
AAPL,xgb,90.0,0.07,1199,0.4854045037531276,0.03773584905660377,0.18181818181818182,,,
AAPL,logreg,60.0,0.07,1229,0.4165988608624898,0.037037037037037035,0.6666666666666666,,,
AAPL,rf,60.0,0.1,1229,0.34011391375101707,0.03296703296703297,0.3,,,
AAPL,xgb,5.0,0.03,1284,0.2266355140186916,0.03125,1.0,,,
AAPL,xgb,90.0,0.1,1199,0.40950792326939117,0.030612244897959183,0.42857142857142855,,,
AAPL,logreg,60.0,0.2,1229,0.09764035801464606,0.030303030303030304,0.5,,,
AAPL,knn,90.0,0.07,1199,0.4854045037531276,0.02830188679245283,0.1875,,,
AAPL,logreg,60.0,0.02,1229,0.5663140764849471,0.027972027972027972,1.0,,,
AAPL,xgb,60.0,0.15,1229,0.22457282343368593,0.02666666666666667,0.5,,,
AAPL,logreg,60.0,0.15,1229,0.22457282343368593,0.02666666666666667,0.4,,,
AAPL,logreg,45.0,0.1,1244,0.2990353697749196,0.02631578947368421,1.0,,,
AAPL,logreg,60.0,0.1,1229,0.34011391375101707,0.02197802197802198,0.2222222222222222,,,
AAPL,logreg,60.0,0.01,1229,0.6029292107404394,0.019867549668874173,1.0,,,
AAPL,rf,3.0,0.02,1286,0.25427682737169516,0.016129032258064516,1.0,,,
AAPL,knn,60.0,0.1,1229,0.34011391375101707,0.01098901098901099,0.07692307692307693,,,
AAPL,knn,90.0,0.1,1199,0.40950792326939117,0.01020408163265306,0.14285714285714285,,,
AAPL,knn,10.0,0.1,1279,0.03127443315089914,0.0,0.0,,,
AAPL,knn,10.0,0.15,1279,0.0023455824863174357,0.0,0.0,,,
AAPL,knn,3.0,0.03,1286,0.13996889580093314,0.0,0.0,,,
AAPL,knn,1.0,0.03,1288,0.039596273291925464,0.0,0.0,,,
AAPL,knn,1.0,0.02,1288,0.10015527950310558,0.0,0.0,,,
AAPL,knn,1.0,0.01,1288,0.24922360248447206,0.0,0.0,,,
AAPL,knn,1.0,0.07,1288,0.003105590062111801,0.0,0.0,,,
