stock,model,horizon,threshold,n_samples,target_rate,accuracy,balanced_accuracy,note
AMZN,logreg,60,0.1,1230,0.12520325203252033,0.46747967479674796,0.3576023391812866,
AMZN,xgb,20,0.07,1270,0.08346456692913386,0.3858267716535433,0.3572134387351779,
MSFT,xgb,20,0.05,1270,0.1984251968503937,0.484251968503937,0.35620815581253806,
AAPL,rf,45,0.1,1245,0.3100401606425703,0.5060240963855421,0.35421767727687364,
AMZN,logreg,20,0.1,1270,0.05196850393700787,0.4094488188976378,0.35411708710138035,
MSFT,knn,20,0.03,1270,0.2700787401574803,0.4448818897637795,0.3539263970788518,
AAPL,logreg,20,0.03,1270,0.284251968503937,0.4409448818897638,0.35090030742204653,
MSFT,rf,45,0.1,1245,0.26907630522088355,0.5100401606425703,0.3506775789030097,
AAPL,xgb,60,0.05,1230,0.359349593495935,0.4796747967479675,0.3500066014070427,
MSFT,rf,20,0.1,1270,0.07559055118110236,0.8070866141732284,0.3492815767697284,
AMZN,knn,60,0.05,1230,0.23821138211382115,0.524390243902439,0.34910714285714284,
MSFT,knn,20,0.05,1270,0.1984251968503937,0.4763779527559055,0.34717995536620005,
AAPL,rf,60,0.07,1230,0.36910569105691055,0.47560975609756095,0.34701079031787696,
MSFT,xgb,60,0.03,1230,0.44471544715447153,0.6951219512195121,0.3461538461538462,
AAPL,knn,60,0.07,1230,0.36910569105691055,0.46747967479674796,0.3449985418489356,
AAPL,knn,90,0.03,1200,0.5358333333333334,0.6541666666666667,0.3448275862068966,
AAPL,knn,45,0.1,1245,0.3100401606425703,0.4899598393574297,0.3422391857506361,
MSFT,knn,90,0.05,1200,0.5208333333333334,0.75,0.34036982490590734,
MSFT,xgb,45,0.07,1245,0.334136546184739,0.5180722891566265,0.3402404526166902,
MSFT,xgb,20,0.03,1270,0.2700787401574803,0.43700787401574803,0.33895698521021517,
AAPL,xgb,60,0.07,1230,0.36910569105691055,0.4634146341463415,0.3380577427821523,
AMZN,knn,60,0.03,1230,0.26097560975609757,0.573170731707317,0.3364605315472367,
AAPL,knn,45,0.07,1245,0.3469879518072289,0.4578313253012048,0.33636039886039887,
MSFT,logreg,20,0.05,1270,0.1984251968503937,0.3543307086614173,0.3360722256035707,
AAPL,knn,60,0.03,1230,0.36829268292682926,0.5691056910569106,0.335406974647481,
MSFT,rf,45,0.03,1245,0.41606425702811245,0.6265060240963856,0.33470960638590697,
MSFT,knn,45,0.03,1245,0.41606425702811245,0.6546184738955824,0.33356926585663166,
AAPL,knn,60,0.05,1230,0.359349593495935,0.4959349593495935,0.3334807933348079,
MSFT,rf,60,0.03,1230,0.44471544715447153,0.6910569105691057,0.3333333333333333,
AMZN,xgb,90,0.07,1200,0.18666666666666668,0.7083333333333334,0.3333333333333333,
AAPL,rf,90,0.07,1200,0.51,0.55,0.3333333333333333,
AAPL,rf,90,0.03,1200,0.5358333333333334,0.65,0.3333333333333333,
AAPL,rf,90,0.05,1200,0.5183333333333333,0.6166666666666667,0.3333333333333333,
MSFT,rf,60,0.05,1230,0.432520325203252,0.6504065040650406,0.3333333333333333,
AAPL,xgb,90,0.07,1200,0.51,0.55,0.3333333333333333,
AAPL,xgb,90,0.05,1200,0.5183333333333333,0.6166666666666667,0.3333333333333333,
AMZN,xgb,90,0.1,1200,0.15833333333333333,0.5916666666666667,0.3333333333333333,
AAPL,xgb,90,0.03,1200,0.5358333333333334,0.65,0.3333333333333333,
AMZN,rf,90,0.05,1200,0.19166666666666668,0.7541666666666667,0.3333333333333333,
AMZN,rf,90,0.03,1200,0.19583333333333333,0.775,0.3333333333333333,
AMZN,xgb,90,0.03,1200,0.19583333333333333,0.775,0.3333333333333333,
AMZN,xgb,90,0.05,1200,0.19166666666666668,0.7541666666666667,0.3333333333333333,
AMZN,xgb,60,0.05,1230,0.23821138211382115,0.6504065040650406,0.3333333333333333,
MSFT,knn,60,0.03,1230,0.44471544715447153,0.6910569105691057,0.3333333333333333,
AAPL,rf,45,0.05,1245,0.3582329317269076,0.46184738955823296,0.3331034482758621,
AAPL,knn,45,0.05,1245,0.3582329317269076,0.43373493975903615,0.33164750957854405,
MSFT,rf,60,0.07,1230,0.38943089430894307,0.5934959349593496,0.3310657596371882,
AMZN,logreg,45,0.1,1245,0.15100401606425704,0.4819277108433735,0.33055555555555555,
MSFT,xgb,60,0.05,1230,0.432520325203252,0.6422764227642277,0.32916666666666666,
AAPL,knn,90,0.05,1200,0.5183333333333333,0.6083333333333333,0.32882882882882886,
AMZN,xgb,60,0.03,1230,0.26097560975609757,0.6910569105691057,0.32755298651252407,
AAPL,rf,45,0.07,1245,0.3469879518072289,0.46586345381526106,0.3272792022792023,
